2014-03-03 16:03:14.369 TouchPointLogger[4653:60b] (04, 169.000000,	492.500000)
2014-03-03 16:03:14.385 TouchPointLogger[4653:60b] (04, 169.000000,	493.500000)
2014-03-03 16:03:14.402 TouchPointLogger[4653:60b] (04, 169.000000,	494.000000)
2014-03-03 16:03:14.419 TouchPointLogger[4653:60b] (04, 169.000000,	494.500000)
2014-03-03 16:03:14.435 TouchPointLogger[4653:60b] (04, 169.000000,	495.000000)
2014-03-03 16:03:14.452 TouchPointLogger[4653:60b] (04, 169.000000,	495.500000)
2014-03-03 16:03:14.469 TouchPointLogger[4653:60b] (04, 169.000000,	496.000000)
2014-03-03 16:03:14.485 TouchPointLogger[4653:60b] (04, 169.000000,	496.500000)
2014-03-03 16:03:14.502 TouchPointLogger[4653:60b] (04, 169.000000,	497.000000)
2014-03-03 16:03:14.519 TouchPointLogger[4653:60b] (04, 169.000000,	497.500000)
2014-03-03 16:03:14.785 TouchPointLogger[4653:60b] (04, 169.500000,	497.500000)
2014-03-03 16:03:14.802 TouchPointLogger[4653:60b] (04, 172.000000,	497.500000)
2014-03-03 16:03:15.319 TouchPointLogger[4653:60b] (05, 167.000000,	396.000000)
2014-03-03 16:03:15.452 TouchPointLogger[4653:60b] (05, 166.000000,	401.000000)
2014-03-03 16:03:15.469 TouchPointLogger[4653:60b] (05, 166.000000,	402.500000)
2014-03-03 16:03:15.485 TouchPointLogger[4653:60b] (05, 166.000000,	404.000000)
2014-03-03 16:03:15.502 TouchPointLogger[4653:60b] (05, 166.000000,	405.500000)
2014-03-03 16:03:15.519 TouchPointLogger[4653:60b] (05, 166.000000,	407.500000)
2014-03-03 16:03:15.535 TouchPointLogger[4653:60b] (05, 166.000000,	409.000000)
2014-03-03 16:03:15.552 TouchPointLogger[4653:60b] (05, 166.000000,	411.000000)
2014-03-03 16:03:15.569 TouchPointLogger[4653:60b] (05, 166.000000,	413.000000)
2014-03-03 16:03:15.586 TouchPointLogger[4653:60b] (05, 166.000000,	415.000000)
2014-03-03 16:03:15.602 TouchPointLogger[4653:60b] (05, 166.000000,	417.500000)
2014-03-03 16:03:15.619 TouchPointLogger[4653:60b] (05, 166.000000,	419.500000)
2014-03-03 16:03:15.635 TouchPointLogger[4653:60b] (05, 166.000000,	421.500000)
2014-03-03 16:03:15.652 TouchPointLogger[4653:60b] (05, 166.000000,	423.500000)
2014-03-03 16:03:15.669 TouchPointLogger[4653:60b] (05, 166.000000,	427.000000)
2014-03-03 16:03:15.686 TouchPointLogger[4653:60b] (05, 166.000000,	429.500000)
2014-03-03 16:03:15.702 TouchPointLogger[4653:60b] (05, 166.000000,	432.000000)
2014-03-03 16:03:15.719 TouchPointLogger[4653:60b] (05, 166.000000,	435.000000)
2014-03-03 16:03:15.735 TouchPointLogger[4653:60b] (05, 166.000000,	437.500000)
2014-03-03 16:03:15.752 TouchPointLogger[4653:60b] (05, 166.000000,	440.500000)
2014-03-03 16:03:15.769 TouchPointLogger[4653:60b] (05, 166.000000,	443.000000)
2014-03-03 16:03:15.785 TouchPointLogger[4653:60b] (05, 166.000000,	445.000000)
2014-03-03 16:03:15.802 TouchPointLogger[4653:60b] (05, 166.000000,	447.000000)
2014-03-03 16:03:15.819 TouchPointLogger[4653:60b] (05, 166.000000,	449.000000)
2014-03-03 16:03:15.836 TouchPointLogger[4653:60b] (05, 166.000000,	451.000000)
2014-03-03 16:03:15.852 TouchPointLogger[4653:60b] (05, 166.000000,	453.500000)
2014-03-03 16:03:15.869 TouchPointLogger[4653:60b] (05, 166.000000,	456.000000)
2014-03-03 16:03:15.886 TouchPointLogger[4653:60b] (05, 166.000000,	459.000000)
2014-03-03 16:03:15.902 TouchPointLogger[4653:60b] (05, 166.000000,	462.000000)
2014-03-03 16:03:15.919 TouchPointLogger[4653:60b] (05, 166.000000,	466.000000)
2014-03-03 16:03:15.936 TouchPointLogger[4653:60b] (05, 166.000000,	469.000000)
2014-03-03 16:03:15.952 TouchPointLogger[4653:60b] (05, 166.000000,	472.000000)
2014-03-03 16:03:15.969 TouchPointLogger[4653:60b] (05, 166.000000,	474.500000)
2014-03-03 16:03:15.986 TouchPointLogger[4653:60b] (05, 166.000000,	476.500000)
2014-03-03 16:03:16.002 TouchPointLogger[4653:60b] (05, 166.000000,	478.000000)
2014-03-03 16:03:16.019 TouchPointLogger[4653:60b] (05, 166.000000,	479.500000)
2014-03-03 16:03:16.036 TouchPointLogger[4653:60b] (05, 166.000000,	480.000000)
2014-03-03 16:03:16.052 TouchPointLogger[4653:60b] (05, 166.000000,	481.000000)
2014-03-03 16:03:16.069 TouchPointLogger[4653:60b] (05, 166.000000,	481.500000)
2014-03-03 16:03:16.086 TouchPointLogger[4653:60b] (05, 166.000000,	482.000000)
2014-03-03 16:03:16.102 TouchPointLogger[4653:60b] (05, 166.000000,	483.000000)
2014-03-03 16:03:16.119 TouchPointLogger[4653:60b] (05, 166.000000,	483.500000)
2014-03-03 16:03:16.136 TouchPointLogger[4653:60b] (05, 166.000000,	484.000000)
2014-03-03 16:03:16.169 TouchPointLogger[4653:60b] (05, 166.000000,	484.500000)
2014-03-03 16:03:16.319 TouchPointLogger[4653:60b] (05, 166.500000,	484.500000)
2014-03-03 16:03:16.336 TouchPointLogger[4653:60b] (05, 167.000000,	485.500000)
2014-03-03 16:03:16.352 TouchPointLogger[4653:60b] (05, 169.000000,	487.500000)
2014-03-03 16:03:17.270 TouchPointLogger[4653:60b] (06, 176.000000,	407.500000)
2014-03-03 16:03:17.419 TouchPointLogger[4653:60b] (06, 177.000000,	412.000000)
2014-03-03 16:03:17.436 TouchPointLogger[4653:60b] (06, 177.000000,	414.500000)
2014-03-03 16:03:17.452 TouchPointLogger[4653:60b] (06, 177.000000,	417.000000)
2014-03-03 16:03:17.469 TouchPointLogger[4653:60b] (06, 177.000000,	420.000000)
2014-03-03 16:03:17.486 TouchPointLogger[4653:60b] (06, 177.000000,	423.000000)
2014-03-03 16:03:17.502 TouchPointLogger[4653:60b] (06, 177.500000,	426.500000)
2014-03-03 16:03:17.519 TouchPointLogger[4653:60b] (06, 178.000000,	429.500000)
2014-03-03 16:03:17.536 TouchPointLogger[4653:60b] (06, 178.000000,	432.500000)
2014-03-03 16:03:17.552 TouchPointLogger[4653:60b] (06, 178.000000,	436.000000)
2014-03-03 16:03:17.569 TouchPointLogger[4653:60b] (06, 178.000000,	439.000000)
2014-03-03 16:03:17.586 TouchPointLogger[4653:60b] (06, 178.000000,	441.500000)
2014-03-03 16:03:17.602 TouchPointLogger[4653:60b] (06, 178.000000,	444.000000)
2014-03-03 16:03:17.619 TouchPointLogger[4653:60b] (06, 178.000000,	446.000000)
2014-03-03 16:03:17.636 TouchPointLogger[4653:60b] (06, 178.000000,	448.000000)
2014-03-03 16:03:17.652 TouchPointLogger[4653:60b] (06, 178.000000,	450.000000)
2014-03-03 16:03:17.669 TouchPointLogger[4653:60b] (06, 178.000000,	452.000000)
2014-03-03 16:03:17.686 TouchPointLogger[4653:60b] (06, 178.000000,	453.500000)
2014-03-03 16:03:17.702 TouchPointLogger[4653:60b] (06, 178.000000,	455.500000)
2014-03-03 16:03:17.719 TouchPointLogger[4653:60b] (06, 178.000000,	457.500000)
2014-03-03 16:03:17.736 TouchPointLogger[4653:60b] (06, 178.000000,	459.000000)
2014-03-03 16:03:17.752 TouchPointLogger[4653:60b] (06, 178.000000,	461.000000)
2014-03-03 16:03:17.769 TouchPointLogger[4653:60b] (06, 178.000000,	463.000000)
2014-03-03 16:03:17.786 TouchPointLogger[4653:60b] (06, 178.000000,	465.500000)
2014-03-03 16:03:17.803 TouchPointLogger[4653:60b] (06, 178.000000,	467.500000)
2014-03-03 16:03:17.819 TouchPointLogger[4653:60b] (06, 178.000000,	469.000000)
2014-03-03 16:03:17.836 TouchPointLogger[4653:60b] (06, 178.000000,	470.500000)
